,City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
387,half moon bay,US,1586640992,90,87,37.46,-122.43,69.01,5.82
388,masvingo,ZW,1586640992,23,51,-20.06,30.83,61.41,2.28
389,leshukonskoye,RU,1586640992,94,97,64.9,45.76,23.07,3.69
390,dakar,SN,1586640866,0,83,14.69,-17.44,75.2,4.7
391,beni,CD,1586640993,91,64,0.5,29.47,67.01,1.41
392,mezen,RU,1586640993,15,96,65.85,44.24,17.87,4.45
393,sao joao da barra,BR,1586640498,90,94,-21.64,-41.05,71.6,14.99
394,pingyi,CN,1586640993,0,58,35.5,117.63,42.49,5.06
395,richards bay,ZA,1586640701,77,78,-28.78,32.04,72.9,15.77
396,labuhan,ID,1586640667,57,85,-6.88,112.21,76.96,3.91
397,manzil kamil,TN,1586640993,22,72,35.62,10.67,64.99,8.05
398,ciudad bolivar,VE,1586640993,100,21,8.12,-63.55,99.99,13.15
399,vytegra,RU,1586640993,0,92,61.01,36.45,27.32,2.84
400,bambari,CF,1586640993,100,79,5.77,20.68,74.46,4.38
401,kirakira,SB,1586640683,95,77,-10.45,161.92,82.42,6.38
402,mount isa,AU,1586640653,7,22,-20.73,139.5,68.0,8.05
403,varhaug,NO,1586640993,75,93,58.61,5.65,46.4,8.05
404,panalingaan,PH,1586640994,0,79,8.78,117.42,80.53,1.77
405,ridgecrest,US,1586640994,1,37,35.62,-117.67,73.99,6.67
406,sosnovo-ozerskoye,RU,1586640994,0,45,52.52,111.54,37.06,3.65
407,kavieng,PG,1586640673,99,73,-2.57,150.8,83.55,4.92
408,tiznit,MA,1586640994,99,70,29.58,-9.5,59.23,3.91
409,port lincoln,AU,1586640668,81,64,-34.73,135.87,56.75,7.05
410,torrington,US,1586640994,40,33,41.8,-73.12,54.0,9.17
411,almaznyy,RU,1586640995,28,44,48.04,40.05,39.2,8.95
412,miami lakes,US,1586640995,90,69,25.91,-80.31,82.4,14.99
413,port maria,JM,1586640995,20,63,18.37,-76.89,91.4,13.87
414,bengkulu,ID,1586640673,37,81,-3.8,102.27,78.55,3.58
415,dudinka,RU,1586640995,75,80,69.41,86.18,35.6,29.08
416,rizhao,CN,1586640962,0,55,35.43,119.46,45.46,4.7
417,flin flon,CA,1586640996,75,44,54.77,-101.86,21.2,12.75
418,mareeba,AU,1586640996,75,88,-17.0,145.43,75.2,1.77
419,nancha,CN,1586640996,0,78,47.13,129.27,33.91,2.37
420,saravan,AM,1586640996,75,81,39.72,45.65,48.2,4.7
421,hobyo,SO,1586640996,0,70,5.35,48.53,83.07,14.12
422,vastseliina,EE,1586640996,58,80,57.73,27.29,30.2,4.79
423,cervignano del friuli,IT,1586640996,5,38,45.82,13.34,60.8,2.66
424,bukachacha,RU,1586640996,0,54,52.98,116.92,36.46,1.45
425,niquelandia,BR,1586640690,100,75,-14.47,-48.46,73.38,0.87
426,marovoay,MG,1586640996,40,71,-16.1,46.63,76.51,6.42
427,erenhot,CN,1586640996,0,37,43.65,111.98,39.47,6.73
428,vilyuysk,RU,1586640996,99,97,63.76,121.62,29.97,9.78
429,jadu,LY,1586640996,0,41,31.95,12.03,59.47,7.05
430,turukhansk,RU,1586640687,100,94,65.82,87.98,34.59,18.48
431,port hedland,AU,1586640997,0,78,-20.32,118.57,73.4,6.93
432,varca,IN,1586640997,20,83,15.22,73.92,82.4,2.24
433,haverfordwest,GB,1586640997,0,87,51.8,-4.97,57.0,5.82
434,maceio,BR,1586640821,20,83,-9.67,-35.74,80.6,8.05
435,gumdag,TM,1586640997,0,56,39.21,54.59,55.85,8.39
436,puerto leguizamo,CO,1586640997,53,69,-0.19,-74.78,85.28,0.83
437,cedro,BR,1586640997,48,82,-6.61,-39.06,77.04,2.15
438,khandyga,RU,1586640681,100,97,62.67,135.6,25.45,5.55
439,northam,GB,1586640997,0,82,51.03,-4.22,57.99,3.0
440,san quintin,MX,1586640704,9,65,30.48,-115.95,62.71,16.91
441,amboasary,MG,1586640997,84,87,-25.03,46.38,70.68,5.3
442,monte carmelo,BR,1586640997,41,64,-18.72,-47.5,70.54,4.32
443,gat,IL,1586640998,16,82,31.61,34.76,57.2,3.36
444,howard springs,AU,1586640998,74,78,-12.5,131.05,79.0,8.05
445,xuddur,SO,1586640998,21,66,4.12,43.89,77.9,15.37
446,edd,ER,1586640998,36,75,13.93,41.69,80.37,9.24
447,dongsheng,CN,1586640998,0,36,39.82,109.98,34.84,3.58
448,talara,PE,1586640998,67,64,-4.58,-81.27,79.66,11.3
449,panaba,MX,1586640998,0,21,21.28,-88.27,100.9,11.56
450,atasu,KZ,1586640998,82,52,48.68,71.64,42.3,9.19
451,boca do acre,BR,1586640998,100,81,-8.75,-67.4,81.99,2.15
452,solnechnyy,RU,1586640998,43,78,50.72,136.63,32.99,2.57
453,hervey bay,AU,1586640998,40,72,-25.3,152.85,70.0,6.73
454,dondo,MZ,1586640998,75,88,-19.61,34.74,71.6,4.7
455,berlevag,NO,1586640698,79,90,70.86,29.09,25.02,3.24
456,honiara,SB,1586640387,75,83,-9.43,159.95,80.6,3.36
457,moose factory,CA,1586640999,75,51,51.26,-80.61,35.6,4.7
458,sinegorskiy,RU,1586640999,31,68,48.01,40.84,40.53,7.0
459,zwedru,LR,1586640999,93,88,6.07,-8.13,75.42,2.91
460,nortelandia,BR,1586640999,12,76,-14.45,-56.8,79.27,2.33
461,laukaa,RU,1586640999,7,93,58.74,29.85,31.03,3.47
462,arona,ES,1586640999,75,72,28.1,-16.68,68.0,18.34
463,malanje,AO,1586640999,92,70,-9.54,16.34,65.53,2.66
464,geraldton,AU,1586640658,9,94,-28.77,114.6,68.0,6.93
465,doha,QA,1586640968,100,54,25.29,51.53,86.0,8.05
466,denizli,TR,1586640999,0,70,37.84,29.07,42.8,6.93
467,burns lake,CA,1586640999,27,44,54.23,-125.75,42.28,2.19
468,nata,PA,1586640999,79,33,8.33,-80.52,84.99,15.55
469,bundaberg,AU,1586641000,45,72,-24.85,152.35,68.0,6.26
470,nouakchott,MR,1586641000,0,50,18.09,-15.98,76.82,17.2
471,victoria,HK,1586640686,20,72,22.29,114.16,66.2,16.11
472,borovichi,RU,1586641000,28,95,58.39,33.92,30.25,4.36
473,opotiki,NZ,1586641000,32,93,-38.08,177.28,55.0,3.0
474,torbat-e jam,IR,1586641000,100,60,35.24,60.62,62.08,5.82
475,san cristobal,VE,1586640696,40,38,7.77,-72.22,93.2,20.8
476,kaniama,CD,1586641000,100,74,-7.57,24.18,69.66,4.0
477,rafai,CF,1586641000,100,83,4.95,23.92,71.13,1.74
478,muzaffarabad,PK,1586641000,35,31,34.37,73.47,63.57,8.37
479,haripur,PK,1586641000,99,77,34.0,72.93,69.01,8.05
480,quzhou,CN,1586641000,35,84,28.96,118.87,46.65,3.89
481,koping,SE,1586641000,100,70,59.51,15.99,44.6,10.29
482,olafsvik,IS,1586640659,60,79,64.89,-23.71,37.24,28.39
483,las choapas,MX,1586641001,40,66,17.93,-94.08,89.6,17.22
484,aksu,CN,1586641001,99,20,41.12,80.26,57.85,2.48
485,chake chake,TZ,1586641001,100,79,-5.25,39.77,82.45,10.8
486,luan,CH,1586641001,27,41,46.36,6.98,59.0,3.69
487,yazd,IR,1586640999,40,31,31.9,54.37,73.4,13.87
488,toamasina,MG,1586641001,10,82,-18.17,49.38,76.15,7.0
489,great yarmouth,GB,1586641001,76,70,52.61,1.73,55.99,1.99
490,listvyagi,RU,1586641001,37,88,53.68,86.95,31.77,3.65
491,caldas da rainha,PT,1586640856,75,87,39.4,-9.14,57.99,4.7
492,krasnoshchekovo,RU,1586641001,0,79,51.67,82.73,34.39,3.67
493,savonlinna,FI,1586641001,5,92,61.87,28.88,25.0,1.12
494,kasongo,CD,1586641002,100,77,-4.45,26.67,72.43,4.68
495,sistranda,NO,1586641002,75,93,63.73,8.83,41.0,11.41
496,baghdad,IQ,1586640955,24,42,33.34,44.4,64.4,2.24
497,vardo,NO,1586640703,61,89,70.37,31.11,27.61,4.99
498,mocajuba,BR,1586640729,45,83,-2.58,-49.51,80.91,3.0
499,orshanka,RU,1586641002,100,91,56.92,47.89,34.54,10.25
500,odienne,CI,1586641002,61,41,9.51,-7.57,86.52,7.27
501,carutapera,BR,1586641002,100,86,-1.2,-46.02,81.18,9.6
502,gualeguay,AR,1586641002,75,78,-33.14,-59.31,75.2,9.17
503,kyabe,TD,1586641002,99,46,9.45,18.94,84.4,7.9
504,nishihara,JP,1586641003,90,83,26.18,127.76,69.8,11.41
505,nhulunbuy,AU,1586641003,42,80,-12.23,136.77,82.04,10.2
506,marsh harbour,BS,1586640913,10,76,26.54,-77.06,74.23,15.21
507,muroto,JP,1586641003,100,79,33.28,134.15,52.63,14.12
508,kalmunai,LK,1586641003,1,77,7.42,81.82,81.41,4.36
509,kananga,CD,1586641003,99,78,-5.9,22.42,73.0,3.8
510,ales,FR,1586641003,0,76,44.13,4.08,53.6,1.12
511,camana,PE,1586640667,86,75,-16.62,-72.71,73.8,7.4
512,alferrarede,PT,1586641004,0,87,39.48,-8.17,57.99,5.23
513,acarau,BR,1586641004,100,85,-2.89,-40.12,79.88,5.86
514,okha,RU,1586640658,44,96,53.57,142.95,27.88,12.26
515,karaidel,RU,1586641004,100,82,55.83,56.91,37.24,4.81
516,vatne,NO,1586641004,100,81,62.57,6.65,46.4,14.99
517,zachary,US,1586640821,1,44,30.65,-91.16,82.0,5.82
518,cayenne,GF,1586640665,20,69,4.93,-52.33,82.4,9.17
519,boysun,UZ,1586641004,85,45,38.21,67.2,54.45,5.46
520,lagoa,PT,1586640697,0,75,39.05,-27.98,61.66,10.47
521,buala,SB,1586641004,98,77,-8.14,159.59,82.81,7.56
522,broken hill,AU,1586641004,0,70,-31.95,141.43,42.8,4.7
523,ilo,PE,1586640686,67,75,-17.64,-71.34,73.4,7.31
524,esil,KZ,1586640686,100,73,51.96,66.4,42.12,11.9
525,fonte boa,BR,1586641005,100,94,-2.5,-66.27,76.17,6.17
526,riohacha,CO,1586640602,40,70,11.54,-72.91,87.8,11.41
527,buchanan,LR,1586641005,45,85,5.88,-10.05,80.04,3.49
528,silca,HN,1586641005,100,17,14.83,-86.53,95.32,7.38
529,vila,PT,1586640681,96,93,42.03,-8.16,55.99,3.36
530,brownsville,US,1586640710,40,62,25.9,-97.5,87.8,18.34
531,ust-shonosha,RU,1586641005,1,94,61.15,41.34,23.07,2.24
532,marrakesh,MA,1586641005,40,68,31.63,-8.01,64.4,9.17
533,uusikaupunki,FI,1586641005,100,74,60.8,21.41,33.8,3.36
534,husavik,IS,1586640689,75,69,66.04,-17.34,33.8,28.86
535,pervomayskoye,RU,1586641005,83,59,43.92,46.71,51.85,11.77
536,byron bay,AU,1586640668,0,87,-28.65,153.62,69.01,2.24
537,assai,BR,1586641005,20,50,-23.37,-50.84,78.8,1.7
538,caravelas,BR,1586640683,62,85,-17.71,-39.25,79.21,11.05
539,churu,IN,1586641006,1,27,28.3,74.95,82.94,8.01
540,leningradskiy,RU,1586640700,94,87,69.38,178.42,12.81,3.98
541,chunskiy,RU,1586641006,0,94,56.08,99.63,27.9,1.21
542,kerman,IR,1586641006,100,32,30.28,57.08,68.0,16.11
543,ilulissat,GL,1586640682,100,68,69.22,-51.1,30.2,5.82
544,bilibino,RU,1586640675,92,90,68.05,166.44,10.0,1.25
545,ullapool,GB,1586640783,100,87,57.9,-5.16,48.0,7.0
546,ishigaki,JP,1586641006,75,93,24.34,124.16,66.2,11.41
547,waingapu,ID,1586640687,53,77,-9.66,120.26,77.94,5.7
548,vega de alatorre,MX,1586641006,53,81,20.03,-96.63,83.34,9.46
549,bonavista,CA,1586640674,25,76,48.65,-53.11,36.0,15.99
550,klaksvik,FO,1586640674,100,93,62.23,-6.59,44.6,17.22
